,Uin,Upr,deg,delta,rs21,z
z11,1.116,1.054,-2.5,0.062,100,0.00062
z21,1.116,0.662,47.5,0.062,100,0.00062
z12,1.116,0.95,15.4,0.166,100,0.00166
z22,1.116,1.006,-0.5,0.11,100,0.0011
