,Uin,Upr,deg,delta,rs21,z
z11,1.117,1.076,-1.9,0.041,100,0.00041
z21,1.117,0.434,63.6,0.683,100,0.00683
z12,1.117,0.878,27.1,0.239,100,0.00239
z22,1.117,1.009,-0.5,0.108,100,0.00108
