,Uin,Upr,deg,delta,rs21,z
z11,1.116,1.039,-2.1,0.077,100,0.00077
z21,1.116,0.92,23.8,0.196,100,0.00196
z12,1.116,0.922,23.6,0.194,100,0.00194
z22,1.116,1.039,-2.1,0.077,100,0.00077
