,Uin,Upr,deg,delta,rs21,z
z11,1.116,1.043,-2.2,0.073,100,0.00073
z21,1.116,0.895,27,0.221,100,0.00221
z12,1.116,0.898,26.7,0.218,100,0.00218
z22,1.116,1.043,-2.2,0.073,100,0.00073
